ID;Systeem;Subthema;Categorie;Onderwerp;Omschrijving melding;Toelichting melding;Soort melding;Antwoord of oplossing
312;Exact;Scan en Herken;Scan en Herken;4. Goedkeuren facturen;4. Goedkeuren facturen;;Procedure;"Als u de functionaliteit Goedkeuring inkoopfacturen heeft ingeschakeld, moeten de
inkoopfactuurgegevens van de boeking worden goedgekeurd voordat de openstaande post wordt
weergegeven in het overzicht Betalingen.
De Helpdesk kan u helpen met het instellen Goedkeuring inkoopfacturen.
U kunt bij het instellen van Goedkeuren facturen voor een bepaalde “flow” kiezen.
Hierbij kunt u aangeven dat facturen van een bepaalde leverancier of die een bepaald limietbedrag
overschrijden nog door een 2e goedkeurder moet worden beoordeeld.
Degene die als “Goedkeurder” is aangemerkt kan de factuur terugvinden op verschillende manieren;
- via Activiteit > Overzicht activiteiten;

- via Inkoop>Facturen>Overzicht

Als u doorklikt op de factuur krijgt u het volgende scherm;

Handleidingen - procedures:
Scan en Herken Inkoopfacturen boeken en goedkeuren
Hier kunt u kiezen voor;

Bij Ter beoordeling sturen kunt u de factuur naar een andere gebruiker in Exact sturen ter
beoordeling. Bij Goedkeuren is de factuur goedgekeurd en kan worden toegevoegd aan een
Betaalbatch. Bij Afkeuren wordt de factuur Afgekeurd en kan dus niet worden toegevoegd aan een
Betaalbatch."
313;DocBase;Begraafplaats Grafbeheer Begravingen;Begraafplaats Grafbeheer Begravingen;Instructie Begraafplaats Grafbeheer Begravingen;Instructie Begraafplaats Grafbeheer Begravingen;;FAQ;"Handleidingen - procedures:
Instructie Begraafplaats Grafbeheer Begravingen

Inhoud
1.
Versie beheer ................................................................................................................................ 1
2.
Begraafplaatsmodule ..................................................................................................................... 1
In deze instructie worden de volgende menu-items uitgelegd; ............................................................. 1
3.
Menu 08. Begraafplaats ................................................................................................................. 2
4.
Menu 09. Grafbeheer .................................................................................................................... 2
5.
Menu 10. Begravingen ................................................................................................................... 3
6.
Nog geen gegevens in de Begraafplaatsmodule. Wat nu?............................................................. 4
7.
Begraafplaats; hoe voeg ik een Graf en Begravingen toe. ............................................................. 5
7.1.
Toevoegen Graf ..................................................................................................................... 5
7.2.
Toevoegen Begraving ............................................................................................................ 7
8.
Menu 11. Graf- en begravingsorganisatie...................................................................................... 7
9.
Menu 12. Belanghebbende graf .................................................................................................... 8"
314;DocBase;Begraafplaats Grafbeheer Begravingen;Begraafplaats Grafbeheer Begravingen;2. Begraafplaatsmodule;2. Begraafplaatsmodule;;FAQ;"In deze instructie worden de volgende menu-items uitgelegd;
-"
315;DocBase;Begraafplaats Grafbeheer Begravingen;Begraafplaats Grafbeheer Begravingen;10. Begravingen;10. Begravingen;;FAQ;"Verder is er ook een korte uitleg over het volgende;
-"
316;DocBase;Begraafplaats Grafbeheer Begravingen;Begraafplaats Grafbeheer Begravingen;12. Belanghebbende graf;12. Belanghebbende graf;;FAQ;"Handleidingen - procedures:
Instructie Begraafplaats Grafbeheer Begravingen"
317;DocBase;Begraafplaats Grafbeheer Begravingen;Begraafplaats Grafbeheer Begravingen;3. Menu 08. Begraafplaats;3. Menu 08. Begraafplaats;;Procedure;"We gaan ervan uit dat er al gegevens staan bij uw Begraafplaats.
Klik bij 08. Begraafplaats op de begraafplaats (er kunnen meerdere begraafplaatsen worden
ingevoerd).

Aan de begraafplaats zijn de graven gekoppeld.
Tabblad Aantekeningen; hier kunt u informatie over de begraafplaats toevoegen.
Tabblad Alle graven; alle graven die aan deze begraafplaats zijn gekoppeld
Tabblad Vrije graven; selectie van alle graven waarvan de Gebruiksstatus Vrij is.
Tabblad Te ruimen graven; hier staan de graven waarvan de Gebruiksstatus op Te ruimen staat.
Tabblad Graven in reparatie; de graven waar het veld Onderhoudsstatus graf op In reparatie staat.
Tabblad Expiratiedatum =<1.5 jaar; graven waarvan de Expiratiedatum grafrecht binnen nu en 1.5
jaar valt. Hier ziet u snel welke graven binnenkort komen te vervallen en waarvan u de
rechthebbende kunt aanschrijven om de grafrechten te verlengen."
318;DocBase;Begraafplaats Grafbeheer Begravingen;Begraafplaats Grafbeheer Begravingen;4. Menu 09. Grafbeheer;4. Menu 09. Grafbeheer;;Procedure;"Als u op 09. Grafbeheer klikt ziet u alle graven die in uw administratie zijn opgevoerd. Als uw
parochie meerdere begraafplaatsen heeft dan staan hier alle graven bij/door elkaar.
(U kunt ook via 08. Begraafplaats en dan tabblad Alle graven een overzicht zien van alle graven die
aan die specifieke begraafplaats hangen.)
Als u een graf aanklikt dan komt u op de grafkaart. Ook hier ziet u een aantal tabbladen;

Handleidingen - procedures:
Instructie Begraafplaats Grafbeheer Begravingen

Aantekeningen; hier kunt u algemene tekst kwijt over dit graf.
Documenten; aan elke graf kunnen meerdere Documenten toegevoegd worden. Hierbij kunt u
denken aan de grafakte, overlijdensadvertentie, foto grafsteen, grafaktefactuur, verlengingsbrief etc
Begravingen; aan het graf kan een of meerdere begravingen worden toegevoegd (dit wordt later in
die document uitgelegd)
Begravingen (historie); dit zijn begravingen die niet meer actueel zijn omdat ze zijn opgegraven of
waarvan de grafrechten zijn verlopen.
Betrokken organisaties; hier kunt u informatie toevoegen van de begrafenisondernemer, grafdelver,
steenhouwer etc.
Belanghebbende(n); dit zijn personen anders dan de rechthebbende maar die u wel wilt registreren.
Documenten (historie); dit zijn documenten die horen bij de historische begravingen
Op de grafkaart kunt u bij de diverse velden veel informatie invoeren.
Een aantal velden zijn verplicht (hier staat een *). De andere zijn optioneel. Het is aan u of u deze
velden vult of niet. Ons advies is om zoveel mogelijk informatie op de grafkaart te zetten.
Op de grafkaart staat de Rechthebbende. Dat kan door een link naar een ledenkaart of – als de
rechthebbende niet in DocBase staat – door alle velden handmatig te vullen.
Als er een link naar een ledenkaart is dan heeft dit als voordeel dat als dit lid een SILA-indicatie heeft
de gegevens actueel zijn en worden bijgewerkt als de rechthebbende verhuisd of komt te overlijden.
Verder is het veld Expiratiedatum grafrecht belangrijk. Hier staat de datum wanneer de grafrechten
komen te vervallen."
319;DocBase;Begraafplaats Grafbeheer Begravingen;Begraafplaats Grafbeheer Begravingen;5. Menu 10. Begravingen;5. Menu 10. Begravingen;;FAQ;"Bij 10. Begravingen staan de overledenen die op de begraafplaats zijn begraven of waarvan er de urn
ligt.
Als uw begraafplaatsadministratie correct is ingericht dan is een Begraving altijd gekoppeld aan een
graf. U kunt dan ook via 09. Grafbeheer via het tabblad Begravingen naar de begraving die bij dit graf
hoort.
Bij elk graf kunnen meerdere begravingen zijn. Ook de historische begravingen kunnen geregistreerd
worden. Zo kunt u altijd zien welke stoffelijke resten nog in het graf aanwezig kunnen zijn. Ook voor
de historie (heemkunde of heemkring) kan dit interessante informatie zijn.
Als u een Begraving aanklikt ziet u ook weer meerdere tabbladen;

Handleidingen - procedures:
Instructie Begraafplaats Grafbeheer Begravingen

Aantekeningen; hier kunt u informatie over deze specifieke begraving vinden (bijv. dat de overledene
de vroegere huisarts was van uw parochie o.i.d.)
Documenten; specifieke documenten die bij deze begraving horen (maar deze kunnen ook bij het
graf worden toegevoegd)
Betrokken organisaties; idem aan graf
Belanghebbende(n) begraving; idem aan graf
>>>Graf; hier kunt u van de Begraving naar de betreffende Grafkaart gaan.
De velden van de Begravingskaart bevat informatie over de overledene. Hier kan er een link zijn naar
de ledenkaart en anders zijn de gegevens handmatig ingevoerd.
Ook hier zijn een aantal velden verplicht (zie *). Met name Graf Docbase-ID dat sinds kort verplicht is.
Dit zorgt ervoor dat een Begraving altijd gekoppeld is aan een Graf.

Als bij het veld Ruimingsdatum begraving een datum staat dan staat deze begraving bij het graf
onder het tabblad Begraving (historie)."
320;DocBase;Begraafplaats Grafbeheer Begravingen;Begraafplaats Grafbeheer Begravingen;6. Nog geen gegevens in de Begraafplaatsmodule. Wat nu?;6. Nog geen gegevens in de Begraafplaatsmodule. Wat nu?;;FAQ;"Als u nog niet eerder met de Begraafplaatsmodule heeft gewerkt en er staan geen gegevens in dan
kunt u dit op meerder manieren (laten) toevoegen;"
321;DocBase;Begraafplaats Grafbeheer Begravingen;Begraafplaats Grafbeheer Begravingen;1. Op de website www.rkk-online.nl onder het blokje Conversie vindt u het document Conversietool -;1. Op de website www.rkk-online.nl onder het blokje Conversie vindt u het document Conversietool -;;Procedure;"Begraafplaatsen en begravingen.
Dit blanco Excel-bestand kunt u invullen en via een ticket aan de Helpdesk aanbieden. De Helpdesk
zal dan de gegevens inlezen.
Voordat u dit bestand gaat vullen lees eerst goed het eerste tabblad van dit document. Hierin staat
de instructie hoe u dit bestand dient in te vullen.
Deze methode is handig als u al de begraafplaats in een Excel-bestand heeft staan. U moet wel een
beetje handig zijn met Excel om de informatie in de juiste kolommen te zetten."
322;DocBase;Begraafplaats Grafbeheer Begravingen;Begraafplaats Grafbeheer Begravingen;2. U gaat de graven en de begravingen zelf handmatig invoeren. Als u de gegevens van uw;2. U gaat de graven en de begravingen zelf handmatig invoeren. Als u de gegevens van uw;;FAQ;"begraafplaats nog niet in Excel heeft staan is dit wellicht de beste methode. Het vergt wel enige tijd
om alle graven en begravingen toe te voegen. Neem hier ruim de tijd voor. Het is vooral belangrijk
dat de gegevens die u invoert correct zijn.

Handleidingen - procedures:
Instructie Begraafplaats Grafbeheer Begravingen"
323;DocBase;Begraafplaats Grafbeheer Begravingen;Begraafplaats Grafbeheer Begravingen;3. Stel dat u wel een Excel-bestand heeft met grafnummers maar dat dit niet compleet is en maar;3. Stel dat u wel een Excel-bestand heeft met grafnummers maar dat dit niet compleet is en maar;;Procedure;"weinig informatie bevat. De Helpdesk kan dan voor u wel de graven invoeren. Zo staan alle graven er
wel al in en kunt u zelf de informatie toevoegen/aanvullen.
Als u twijfelt welke methode voor u het beste is, neem dan contact op met de Helpdesk. Zij kunnen u
hierover informeren."
324;DocBase;Begraafplaats Grafbeheer Begravingen;"7. Begraafplaats; hoe voeg ik een Graf en Begravingen toe.";7.1. Toevoegen Graf;7.1. Toevoegen Graf;;Procedure;"Wanneer voegt u een graf toe;
-
Als er wel al graven zijn toegevoegd maar dit graf nog niet (vergeten of nieuw graf dat nog
niet was opgevoerd
-
Als u zelf alle graven handmatig gaat toevoegen
Om een graf toe te voegen ga naar 09. Grafbeheer en klik op Nieuw+.
Verplichte velden;
- Grafnummer; vul hier het grafnummer dat uw parochie gebruikt
- Gebruikstatus graf; kies hier een gebruikstatus uit het uitklapmenu

- Onderhoudstatus graf; kies hier een onderhoudstatus uit het uitklapmenu (staat standaard op nvt)

Handleidingen - procedures:
Instructie Begraafplaats Grafbeheer Begravingen
- Graftype; kies hier een graftype uit het uitklapmenu

- Begraafplaatsnaam; als u het veld Begraafplaats-ID vult met behulp van het vergrootglas dan wordt
het veld Begraafplaatsnaam automatisch gevuld. Bovendien is het graf dan gekoppeld aan de 08.
Begraafplaats.
Overige niet verplichte velden;
Bij de meeste velden is het duidelijk wat u hier moet invullen.
Wat wel belangrijk is om te vermelden is hoe u de rechthebbende toevoegt
Bij het veld Rechthebbende DocBase-ID kunt u met behulp van het vergrootglas de rechthebbende
zoeken in de landelijke ledenadministratie. Klik op het vergrootglas en vul in het venster enkele
zoekcriteria in. LET OP; de ingevulde zoekcriteria moeten leiden naar één uniek zoekresultaat. De
combinatie Postcode + Huisnummer + Geboortedatum geeft een goed resultaat. Als u geen
geboortedatum heeft probeer dan enkele andere combinaties van zoekcriteria.
Als de rechthebbende niet voorkomt in de ledenadministratie (of u kunt deze niet vinden) kunt u ook
volstaan met het invullen van alle overige velden van de rechthebbende.
LET OP; voer geen lid op enkel en alleen om deze als rechthebbende te registreren. Vul dan gewoon
de velden handmatig in.
In plaats van een rechthebbende (persoon) kan ook een organisatie als rechthebbende worden
opgevoerd. Hiervoor kan via 01. Ledenadministratie een (lokale) organisatie worden toegevoegd.
Deze kan dan aan het graf worden gekoppeld. U kunt hierbij denken aan een Heemkundevereniging
of een Vereniging onderhoud oorlogsgraven. Als u de koppeling maakt met het lidnummer dan kunt
u bij 01. Ledenadministratie bij deze (lokale) organisatie onder het tabblad Overige tabs >
Rechthebbende eenvoudig een overzicht zien welke graven aan deze (lokale) organisatie zijn
toegevoegd.
Verder is het belangrijk om het veld Parochie DocBase-ID te vullen. Doe dit ook via het vergrootglas.

Handleidingen - procedures:
Instructie Begraafplaats Grafbeheer Begravingen
Nadat u alle gegevens heeft ingevuld bij het Graf klikt u op OK."
325;DocBase;Begraafplaats Grafbeheer Begravingen;"7. Begraafplaats; hoe voeg ik een Graf en Begravingen toe.";7.2. Toevoegen Begraving;7.2. Toevoegen Begraving;;Procedure;"Wanneer voegt u een begraving toe;
- bij een nieuwe begraving
- als u de begravingen allemaal handmatig invoert

Wij adviseren u om een begraving toe te voegen via 09. Grafbeheer. Dat klinkt tegenstrijdig maar op
deze manier hoeft u zelf niet de link naar de grafkaart te maken en wordt deze automatisch gemaakt.
Bovendien zijn een aantal velden dan al ingevuld.
Ga dus naar 09. Grafbeheer en zoek het graf op. Ga naar de Grafkaart.
Klik op het tabblad Begravingen;

Klik op Nieuw+ om een nieuwe begraving toe te voegen.
De overledene kan met het vergrootglas bij het veld
Overledene Docbase-ID in de landelijke
ledenadministratie gezocht worden. Als de overledene niet voorkomt in de ledenadministratie (of u
kunt deze niet vinden) kunt u volstaan met het invullen van de overige velden van de overledene.
LET OP; voer geen lid op enkel en alleen om deze als overledene te registreren. Vul dan gewoon de
velden handmatig in.
Voer de overige velden zoveel mogelijk in.
Vul bij het veld Ruimingsdatum begraving een datum in als het om een begraving gaat die niet meer
actueel is (bijv. bij echte fysieke ruiming of als de grafrechten zijn verlopen). De begraving komt dan
bij het graf onder het tabblad Begraving (historie).
Klik op OK om de begraving op te slaan.
De begraving is nu toegevoegd aan de Grafkaart."
326;DocBase;Begraafplaats Grafbeheer Begravingen;Begraafplaats Grafbeheer Begravingen;8. Menu 11. Graf- en begravingsorganisatie;8. Menu 11. Graf- en begravingsorganisatie;;FAQ;"Als uw parochie vaak gebruik maakt van dezelfde Begrafenisondernemer of Grafdelver dan kunt u
deze bedrijven opvoeren in 01. Ledenadministratie als (lokale) organisatie.

Handleidingen - procedures:
Instructie Begraafplaats Grafbeheer Begravingen
U kunt dan bij een Graf of Begraving via het tabblad Betrokken organisaties deze
Begrafenisondernemer of Grafdelver koppelen aan het Graf of de Begraving. Maar u kunt de
gegevens van dit bedrijf handmatig invullen."
327;DocBase;Begraafplaats Grafbeheer Begravingen;Begraafplaats Grafbeheer Begravingen;9. Menu 12. Belanghebbende graf;9. Menu 12. Belanghebbende graf;;FAQ;"Een belanghebbende is iemand anders dan de rechthebbende.
Als voorbeeld;
Een man is overleden en zijn echtgenote is rechthebbende van het graf. Zij heeft de grafakte
ondertekend en de grafrechten betaald. Deze mevrouw is echter op hoge leeftijd. Wellicht is het dan
verstandig dat u ook de gegevens van één van de kinderen registreert. Dit kunt u bij Belanghebbende
doen. Het is mogelijk om meerdere Belanghebbenden op te voeren.
Voer een belanghebbende bij voorkeur op via 09. Grafbeheer. Zoek het betreffende graf op en ga
naar tabblad Belanghebbende(n). Klik op Nieuw+.
U kunt een koppeling maken met een lid in de ledenadministratie.
LET OP; voer geen lid op enkel en alleen om deze als belanghebbende te registreren. Vul dan gewoon
de velden handmatig in."
328;Exact;Waarom één financiële administratie;Waarom één financiële administratie;Het waarom van één financiële administratie;Het waarom van één financiële administratie;;FAQ;"Het waarom van één financiële administratie

Versie: 1.0
Datum: april 2018

In het kader van de besluitvorming rondom de nieuwe automatisering is door het landelijk
economencollege ook uitgebreid stilgestaan bij de gewenste administratieve inrichting in de situatie
van een fusieparochie. Daarbij is besloten om (ook) aan een fusieparochie standaard één
administratie ter beschikking te stellen. Mede vanuit de bestuurbaarheid van de fusieparochie wordt
het heel belangrijk gevonden dat er zo snel mogelijk vanuit één centrale administratie wordt
gewerkt. De huidige financiële situatie van veel parochies vraagt immers om een snelle
informatievoorziening om tijdig bijsturen mogelijk te maken.

In het kader van een fusieparochie wordt daarbij geen belang gehecht aan toekomstige balansen
van oude parochies; door een fusie zijn de oude vermogens samengevoegd en in alle
besluitvorming dienen de belangen van de totale nieuwe fusieparochie centraal te staan; de
oorspronkelijke herkomst van het vermogen speelt dan geen rol meer. Natuurlijk bestaat er begrip
voor lokale gevoelens rondom de herkomst van het vermogen, maar de ervaring leert dat
etikettering van vermogens niet bijdraagt aan de noodzakelijk daadwerkelijke
gemeenschapsvorming binnen de nieuwe parochie.

Vaak bestaat binnen de fusieparochie de behoefte om inzicht te houden in de ontwikkeling van
bepaalde opbrengsten en kosten van de oude parochies. Dit kan in Exact Online eenvoudig worden
gerealiseerd door het gebruik maken van kostenplaatsen. Het is echter niet gewenst dat het gebruik
van kostenplaatsen wordt doorgetrokken naar de balansrekeningen, zodat alsnog ook balansen op
kostenplaatsniveau zouden kunnen worden uitgedraaid. Niet alleen levert e.e.a. technisch
problemen op (bijvoorbeeld bij debiteuren en crediteuren), het levert ook allerlei
toerekeningsvragen op die niet bijdragen aan de opbouw van de nieuwe fusieparochie.

In de huidige standaardinrichting zijn een aantal keuzes gemaakt, gericht op het voeren van een
centrale administratie. Gegeven het voorstaande mag duidelijk zijn dat deze instellingen niet zullen
worden aangepast om alsnog voornoemde individuele balansen mogelijk te maken. Als u als
parochie wilt vasthouden aan individuele balansen dan is slechts één oplossing mogelijk, namelijk
het per oude geloofsgemeenschap aanvragen van een aparte Exact Online administratie. De
daaraan verbonden kosten worden in de regel echter één op één doorbelast aan de nieuwe
parochie (in sommige bisdommen bestaat een overgangsregeling), als prikkel om zo snel mogelijk
alsnog de overstap te maken naar een daadwerkelijk centrale financiële administratie. Een
overstap, die de daadwerkelijke vorming van een nieuwe parochie ten goede komt!

April 2018"
329;DocBase;Kaski Jaarrapportage per locatie;Kaski Jaarrapportage per locatie;Handleiding Kaski Jaarrapportage per locatie;Handleiding Kaski Jaarrapportage per locatie;;FAQ;"Handleidingen - procedures:
Handleiding Kaski Jaarrapportage per locatie

Inhoud
1.
Versie beheer ................................................................................................................................ 1
2.
Kaski Jaarrapportage ..................................................................................................................... 1
2.1.
Aantal katholieken ................................................................................................................ 2
2.2.
Aantal katholieke huishoudens ............................................................................................. 2
2.3.
Aantal huishoudens kerkbijdrage .......................................................................................... 3
2.4.
Aantal vrijwilligers incl. koor ................................................................................................. 4
2.5.
Aantal koorleden ................................................................................................................... 5
2.6.
Aantal doopsels totaal .......................................................................................................... 6
2.7.
Aantal doopsels 0-6 jarigen ................................................................................................... 6
2.8.
Aantal doopsels 7-17 jarigen ................................................................................................. 6
2.9.
Aantal communies ................................................................................................................ 7
2.10.
Aantal vormsels ..................................................................................................................... 7
2.11.
Aantal kerkelijke huwelijken totaal ....................................................................................... 8
2.12.
Aantal uitvaarten totaal ........................................................................................................ 8"
330;DocBase;Kaski Jaarrapportage per locatie;Kaski Jaarrapportage per locatie;2. Kaski Jaarrapportage;2. Kaski Jaarrapportage;;FAQ;"De Kaski Jaarrapportage wordt in DocBase weergegeven bij 92. Kaski jaarrapportage. Dit is een
momentopname per 1 januari van elk jaar. Dit overzicht geeft de cijfers weer op dat moment maar
dan op parochieniveau. Werkt uw parochie met locaties/kostenplaats en wilt u deze gegevens per
locatie zien dan dient u dit zelf met selecties uit DocBase te halen.
Hoe u dit doet staat hieronder beschreven.
LET OP; het is belangrijk dat u uw ledenadministratie is opgeschoond en periodiek bijgehouden. Een
opgeschoonde en bijgehouden ledenadministratie geeft een beter resultaat bij selecties.
In DocBase staat een document hoe u uw ledenadministratie kunt opschonen. U vindt dit document
bij 01. Instructies > klik op de blauwe link > ga naar tabblad Documentatie.

Handleidingen - procedures:
Handleiding Kaski Jaarrapportage per locatie"
331;DocBase;Kaski Jaarrapportage per locatie;2. Kaski Jaarrapportage;2.1. Aantal katholieken;2.1. Aantal katholieken;;Procedure;"Dit zijn alle leden met geloofsovertuiging RK en met de lidstatus Parochiaan.
De selectie;
Ga naar 01. Ledenadministratie en klik op Zoek&Vind. Ga naar tabblad Uitgebreid Zoeken.
Vul de volgende selectiecriteria in;

Klik op Vind nu. U ziet nu het resultaat van deze zoekopdracht.
Voor de Kaski Jaarrapportage heeft u alleen de aantallen nodig.
Onder in het scherm ziet u een regel waar u ziet hoeveel pagina’s het zoekresultaat heeft.
Zet een vinkje bij Toon records en klik op het trechtertje zodat er geen streepje meer staat.

Helemaal rechts ziet u dan om hoeveel records het gaat. Dat is dan het aantal leden met
geloofsovertuiging RK."
332;DocBase;Kaski Jaarrapportage per locatie;2. Kaski Jaarrapportage;2.2. Aantal katholieke huishoudens;2.2. Aantal katholieke huishoudens;;Procedure;"Dit zijn alle leden met geloofsovertuiging RK en met de lidstatus Parochiaan EN waarbij het veld
Hoofdbewoner op Ja staat.

Handleidingen - procedures:
Handleiding Kaski Jaarrapportage per locatie

De selectie;
Ga naar 01. Ledenadministratie. Klik op Zoek&Vind en op tabblad Uitgebreid zoeken.
Vul de volgende selectiecriteria in;

Klik op Vind nu. U ziet nu het resultaat van deze zoekopdracht.
Voor de Kaski Jaarrapportage heeft u alleen de aantallen nodig.
Onder in het scherm ziet u een regel waar u ziet hoeveel pagina’s het zoekresultaat heeft.
Zet een vinkje bij Toon records en klik op het trechtertje zodat er geen streepje meer staat."
333;DocBase;Kaski Jaarrapportage per locatie;2. Kaski Jaarrapportage;2.3. Aantal huishoudens kerkbijdrage;2.3. Aantal huishoudens kerkbijdrage;;FAQ;"Dit zijn het aantal huishoudens dat Kerkbijdrage heeft betaalt. Dit is zichtbaar bij 05. Overzicht
Kerkbijdrage. Voorwaarde is wel dat in Exact de ontvangen kerkbijdrage is geboekt op
grootboekrekening 8000 EN gekoppeld is aan een debiteur die in DocBase is aangemaakt. De
koppeling tussen Exact en DocBase zorgt ervoor dat na de nachtverwerking deze gegevens in
DocBase zichtbaar zijn bij 05. Overzicht kerkbijdrage.
De selectie;
Ga naar 05. Kerkbijdrage. Klik op Zoek&Vind.
Vul bij Jaargang het betreffende jaar in;

Handleidingen - procedures:
Handleiding Kaski Jaarrapportage per locatie

Klik op Vind nu! U ziet nu het resultaat van deze zoekopdracht.
Voor de Kaski Jaarrapportage heeft u alleen de aantallen nodig.
Onder in het scherm ziet u een regel waar u ziet hoeveel pagina’s het zoekresultaat heeft.
Zet een vinkje bij Toon records en klik op het trechtertje zodat er geen streepje meer staat."
334;DocBase;Kaski Jaarrapportage per locatie;2. Kaski Jaarrapportage;2.4. Aantal vrijwilligers incl. koor;2.4. Aantal vrijwilligers incl. koor;;Procedure;"Als u tabel 06. Vrijwilligers heeft gevuld dan kan het zijn dat een vrijwilliger meerdere
vrijwilligerstaken heeft. Nadat u de selectie heeft gemaakt kunt u in Excel de dubbele waarden
verwijderen.
De selectie;
Ga naar 06. Vrijwilligers. Klik op Zoek&Vind en op tabblad Uitgebreid Zoeken. U wilt alleen de
vrijwilligers zijn die nog actief zijn. Het veld “Functie beëindigd op” moet dus leeg zijn.
Vul de volgende selectiecriteria in;

Klik op Vind nu!
U ziet nu het resultaat van deze selectie. Als u deze naar Excel exporteert dan kunt u in Excel de
vrijwilligerstaken ontdubbelen.
Ga in Excel naar Gegevens > Dubbele waarden verwijderen. Klik op Alle selecties opheffen en zorg
ervoor dat er een vinkje staat bij “Mijn gegevens bevatten kopteksten”.
Zet een vinkje bij “Lid Docbase-ID”

Klik op OK.

Handleidingen - procedures:
Handleiding Kaski Jaarrapportage per locatie

In het volgende scherm wordt weergegeven hoeveel unieke waarden behouden zijn. Dit is het aantal
vrijwilligers."
335;DocBase;Kaski Jaarrapportage per locatie;2. Kaski Jaarrapportage;2.5. Aantal koorleden;2.5. Aantal koorleden;;Procedure;"Uit het Excelbestand van 2.4 kunt u ook de koorleden selecteren.
Zet een filter op de kolom Aandachtsveld en filter op “KOOR”.

Klik op OK.
U ziet nu alleen de leden die koorlid zijn. Het aantal ziet u linksonder in het scherm.

Handleidingen - procedures:
Handleiding Kaski Jaarrapportage per locatie"
336;DocBase;Kaski Jaarrapportage per locatie;2. Kaski Jaarrapportage;2.6. Aantal doopsels totaal;2.6. Aantal doopsels totaal;;Procedure;"Voor een goede selectie is het noodzakelijk dat u alle doopsels in DocBase heeft geregistreerd.
De selectie;
Ga naar 02. Kerkelijke data. Klik op Zoek&Vind.
Vul de volgende selectiecriteria in;

Klik op Vind nu. U ziet nu het resultaat van deze zoekopdracht.
Voor de Kaski Jaarrapportage heeft u alleen de aantallen nodig.
Onder in het scherm ziet u een regel waar u ziet hoeveel pagina’s het zoekresultaat heeft.
Zet een vinkje bij Toon records en klik op het trechtertje zodat er geen streepje meer staat."
337;DocBase;Kaski Jaarrapportage per locatie;2. Kaski Jaarrapportage;2.7. Aantal doopsels 0-6 jarigen;2.7. Aantal doopsels 0-6 jarigen;;Procedure;"Maak bovengenoemde selectie maar voeg als selectiecriteria het veld “Geboortedatum” toe.

Klik op Vind nu. U ziet nu het resultaat van deze zoekopdracht.
Voor de Kaski Jaarrapportage heeft u alleen de aantallen nodig.
Onder in het scherm ziet u een regel waar u ziet hoeveel pagina’s het zoekresultaat heeft.
Zet een vinkje bij Toon records en klik op het trechtertje zodat er geen streepje meer staat."
338;DocBase;Kaski Jaarrapportage per locatie;2. Kaski Jaarrapportage;2.8. Aantal doopsels 7-17 jarigen;2.8. Aantal doopsels 7-17 jarigen;;FAQ;"Dit is het verschil tussen de uitkomst Aantal doopsels totaal en Aantal doopsels 0-6 jarigen.

Handleidingen - procedures:
Handleiding Kaski Jaarrapportage per locatie"
339;DocBase;Kaski Jaarrapportage per locatie;2. Kaski Jaarrapportage;2.9. Aantal communies;2.9. Aantal communies;;Procedure;"Voor een goede selectie is het noodzakelijk dat u alle communies in DocBase heeft geregistreerd.
De selectie;
Ga naar 02. Kerkelijke data. Klik op Zoek&Vind.
Vul de volgende selectiecriteria in;

Klik op Vind nu. U ziet nu het resultaat van deze zoekopdracht.
Voor de Kaski Jaarrapportage heeft u alleen de aantallen nodig.
Onder in het scherm ziet u een regel waar u ziet hoeveel pagina’s het zoekresultaat heeft.
Zet een vinkje bij Toon records en klik op het trechtertje zodat er geen streepje meer staat."
340;DocBase;Kaski Jaarrapportage per locatie;2. Kaski Jaarrapportage;2.10. Aantal vormsels;2.10. Aantal vormsels;;Procedure;"Voor een goede selectie is het noodzakelijk dat u alle vormsels in DocBase heeft geregistreerd.
De selectie;
Ga naar 02. Kerkelijke data. Klik op Zoek&Vind.
Vul de volgende selectiecriteria in;

Klik op Vind nu. U ziet nu het resultaat van deze zoekopdracht.
Voor de Kaski Jaarrapportage heeft u alleen de aantallen nodig.
Onder in het scherm ziet u een regel waar u ziet hoeveel pagina’s het zoekresultaat heeft.
Zet een vinkje bij Toon records en klik op het trechtertje zodat er geen streepje meer staat.

Handleidingen - procedures:
Handleiding Kaski Jaarrapportage per locatie"
341;DocBase;Kaski Jaarrapportage per locatie;2. Kaski Jaarrapportage;2.11. Aantal kerkelijke huwelijken totaal;2.11. Aantal kerkelijke huwelijken totaal;;Procedure;"Voor een goede selectie is het noodzakelijk dat u alle huwelijken in DocBase heeft geregistreerd.
Let op; als u het huwelijk bij beide echtgenoten heeft ingevuld dan dient u het resultaat van de
volgende selectie door 2 te delen.
De selectie;
Ga naar 02. Kerkelijke data. Klik op Zoek&Vind.
Vul de volgende selectiecriteria in;

Klik op Vind nu. U ziet nu het resultaat van deze zoekopdracht.
Voor de Kaski Jaarrapportage heeft u alleen de aantallen nodig.
Onder in het scherm ziet u een regel waar u ziet hoeveel pagina’s het zoekresultaat heeft.
Zet een vinkje bij Toon records en klik op het trechtertje zodat er geen streepje meer staat.

Deel dit aantal door 2 als u de kerkelijke data Huwelijk bij beide echtgenoten heeft ingevoerd."
